N,P,K,ph,crop
81.83,38.11,41.69,7.26,rice
73.76,46.5,47.04,5.63,rice
84.5,38.22,40.45,6.83,rice
85.64,43.69,43.22,6.24,rice
68.29,35.33,29.75,6.37,rice
72.19,38.97,39.76,5.87,rice
80.77,35.25,35.78,6.23,rice
78.1,38.3,33.91,7.05,rice
79.9,44.2,35.61,6.69,rice
74.88,31.36,38.33,7.27,rice
85.28,42.17,44.58,6.99,rice
84.67,41.19,33.37,6.62,rice
80.4,37.03,40.15,7.27,rice
86.76,32.77,37.58,6.62,rice
82.81,40.36,38.36,6.81,rice
74.84,37.35,45.01,6.25,rice
82.21,41.16,42.69,6.43,rice
74.25,40.11,46.69,6.05,rice
85.27,48.01,39.23,6.89,rice
79.7,38.8,36.52,5.81,rice
78.89,34.88,38.88,6.79,rice
75.91,40.9,41.21,6.3,rice
87.34,41.1,40.88,6.99,rice
79.07,46.8,34.58,6.78,rice
77.43,44.18,40.45,7.31,rice
77.89,41.78,41.14,6.77,rice
83.19,47.32,52.59,5.61,rice
82.19,34.06,49.38,6.37,rice
82.48,36.8,35.73,5.81,rice
82.58,35.37,38.56,6.14,rice
92.85,38.05,32.68,7.16,rice
77.56,33.12,37.05,6.72,rice
76.93,43.18,41.58,6.05,rice
75.12,38.89,46.03,5.89,rice
83.7,32.65,36.35,6.42,rice
86.77,34.92,36.73,5.79,rice
79.32,41.57,29.26,6.06,rice
74.96,44.19,39.19,6.56,rice
75.05,49.98,34.69,6.98,rice
83.9,54.57,37.35,6.7,rice
84.46,42.07,35.62,5.25,rice
83.26,35.05,39.53,6.55,rice
76.01,29.34,31.21,6.44,rice
81.39,41.34,32.66,6.61,rice
80.7,35.94,50.65,7.21,rice
81.31,37.92,33.56,5.37,rice
85.23,36.94,34.52,6.1,rice
81.34,39.3,49.18,6.7,rice
84.07,45.33,54.53,5.61,rice
80.41,40.79,34.14,7.14,rice
81.73,39.21,38.16,6.58,rice
83.79,34.82,41.71,6.82,rice
71.26,31.63,48.64,6.11,rice
78.08,37.57,35.07,6.81,rice
77.18,39.73,38.77,6.93,rice
76.17,48.84,43.89,6.52,rice
78.35,40.65,42.17,6.52,rice
88.97,44.91,38.12,6.54,rice
74.81,37.5,39.33,5.97,rice
85.81,34.08,33.13,6.33,rice
69.9,35.17,38.81,6.32,rice
77.99,36.37,38.67,6.59,rice
80.98,50.64,41.16,6.9,rice
83.52,35.89,37.22,5.87,rice
84.27,44.19,42.36,6.34,rice
84.76,35.49,45.06,7.14,rice
77.91,44.66,40.78,6.03,rice
77.23,41.92,41.76,5.99,rice
85.15,39.22,40.27,6.5,rice
